Station_Id_C Year Mon Day Hour PRS PRS_Sea PRS_Max PRS_Min WIN_S_Max WIN_S_Inst_Max WIN_D_INST_Max WIN_D_Avg_2mi WIN_S_Avg_2mi WIN_D_S_Max TEM TEM_Max TEM_Min RHU RHU_Min PRE_3h
54525 2025 10 6 21 1019.4000 1020.0000 1019.5000 1019.2000 1.1000 1.3000 346 202 0.7000 211 14.2000 14.4000 14.2000 88 84 0.0000 
54525 2025 10 7 0 1019.6000 1020.3000 1019.8000 1019.3000 1.1000 1.7000 278 234 0.5000 289 16.0000 16.0000 14.0000 79 77 0.0000 
54525 2025 10 7 3 1019.2000 1019.8000 1019.8000 1019.2000 2.5000 4.1000 278 199 1.9000 286 20.5000 20.5000 18.6000 58 56 0.0000 
54525 2025 10 7 6 1017.6000 1018.2000 1018.1000 1017.6000 2.7000 5.3000 222 247 1.4000 219 22.2000 23.1000 22.1000 52 47 0.0000 
54525 2025 10 7 9 1017.7000 1018.3000 1017.7000 1017.4000 1.5000 2.0000 287 281 0.7000 295 21.8000 22.1000 21.7000 59 54 0.0000 
54525 2025 10 7 12 1019.0000 1019.7000 1019.0000 1018.6000 0.8000 1.0000 335 999017 0.0000 317 16.3000 17.7000 16.3000 89 83 0.0000 
54525 2025 10 7 15 1018.7000 1019.3000 1018.9000 1018.7000 1.4000 2.0000 323 265 0.6000 296 16.6000 16.6000 15.8000 89 89 0.0000 
54525 2025 10 7 18 1019.3000 1019.9000 1019.4000 1019.1000 1.2000 1.6000 42 62 0.6000 42 15.2000 15.3000 14.8000 95 92 0.0000 
54525 2025 10 7 21 1021.6000 1022.2000 1021.6000 1021.2000 2.8000 4.4000 129 118 3.0000 116 17.6000 17.6000 15.8000 68 68 0.0000 
54525 2025 10 8 0 1023.7000 1024.4000 1023.7000 1023.1000 2.8000 5.1000 107 105 2.3000 115 14.5000 15.3000 14.5000 73 70 0.4000 
54525 2025 10 8 3 1024.2000 1024.9000 1024.6000 1024.2000 2.0000 3.5000 98 95 2.5000 97 14.2000 14.2000 13.4000 67 66 0.7000 
54525 2025 10 8 6 1024.3000 1025.0000 1024.4000 1023.8000 3.6000 6.4000 39 62 3.0000 54 10.3000 12.2000 10.3000 80 65 1.8000 
54525 2025 10 8 9 1023.8000 1024.5000 1023.9000 1023.5000 3.5000 7.3000 53 62 3.3000 68 9.1000 9.2000 9.1000 86 85 8.3000 
